module	version	replacement	license_file	spdx	sha256	license_status	release_status
github.com/faustbrian/go-math	v1.0.0	-	third_party/licenses/go-math-MIT.txt	MIT	7878e35a1e72cd529970c529247d1bef0d53ded4c465e02d8e7794eb7c9da4f0	approved	ready
github.com/faustbrian/go-measurement	v1.0.0	-	third_party/licenses/go-measurement-MIT.txt	MIT	7878e35a1e72cd529970c529247d1bef0d53ded4c465e02d8e7794eb7c9da4f0	approved	ready
